Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-VRM-CodedCauseOfFetalDeathMessage.json	3470	3	0	40	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	368	323	0	0	0	15	0	2
fsh-generated/resources/StructureDefinition-VRM-CodedCauseOfFetalDeathUpdateMessage.json	3514	2	0	28	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	307	323	0	0	0	20	1	2
fsh-generated/resources/StructureDefinition-VRM-DeathRecordAliasMessage.json	2624	3	0	23	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	246	248	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-VRM-DeathRecordSubmissionMessage.json	3872	3	0	35	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	424	506	0	0	0	10	0	2
fsh-generated/resources/StructureDefinition-VRM-DeathRecordUpdateMessage.json	3339	3	0	29	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	307	292	0	0	0	7	0	2
fsh-generated/resources/StructureDefinition-VRM-DemographicsCodingHeader.json	2069	3	0	13	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	127	150	0	0	0	8	1	0
fsh-generated/resources/StructureDefinition-VRM-DemographicsCodingMessage.json	3290	3	0	35	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	305	256	0	0	0	6	0	2
fsh-generated/resources/StructureDefinition-VRM-DemographicsCodingUpdateHeader.json	2107	2	0	15	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	137	194	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-VRM-DemographicsCodingUpdateMessage.json	3342	3	0	35	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	358	290	0	0	0	5	1	2
fsh-generated/resources/StructureDefinition-VRM-ExtractionErrorHeader.json	2655	3	0	37	0	0	0	0	0	34	0	0	0	0	0	0	0	1	0	0	133	156	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-VRM-ExtractionErrorMessage.json	3247	3	0	33	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	308	346	0	0	0	7	0	2
fsh-generated/resources/StructureDefinition-VRM-FetalDeathReportMessage.json	3379	2	0	31	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	315	297	0	0	0	7	0	5
fsh-generated/resources/StructureDefinition-VRM-FetalDeathReportUpdateMessage.json	3406	3	0	28	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	377	264	0	0	0	6	0	2
